iter	RMSE
0	994.1016277
1	984.4682779
2	971.3179528
3	956.5270205
4	947.5684937
5	937.0972206
6	927.354609
7	913.5406531
8	899.2032177
9	889.1216342
10	876.6796037
11	866.3719665
12	855.2281872
13	843.240264
14	831.959355
15	820.532778
16	810.1290829
17	799.999303
18	789.8380192
19	777.7445675
20	767.9136685
21	757.85313
22	746.4364715
23	738.0824478
24	726.8580728
25	718.7199587
26	711.0284001
27	700.3035566
28	689.7006513
29	680.7890435
30	672.9272709
31	665.0732924
32	656.3889287
33	646.6563536
34	640.3161316
35	631.7763465
36	623.7017675
37	614.6673388
38	607.0223317
39	600.4998341
40	593.5874582
41	584.833289
42	577.1778349
43	571.5788578
44	565.5323848
45	558.5584612
46	552.300214
47	545.8892669
48	538.8404928
49	531.2930448
50	525.7381023
51	517.7295288
52	510.9938106
53	506.3591848
54	500.1978198
55	492.6977106
56	485.3438677
57	478.1619823
58	471.6245513
59	465.9511868
60	458.9867698
61	452.0131439
62	446.5854323
63	441.1141415
64	436.2363478
65	430.5063177
66	425.0865744
67	420.436067
68	416.2697429
69	409.8692427
70	404.0992304
71	397.9870811
72	393.1782048
73	388.3414026
74	383.5878707
75	378.9641171
76	373.899017
77	369.3226708
78	363.7807236
79	360.1133346
80	355.4386306
81	350.1637587
82	346.7416825
83	343.2912089
84	339.1373038
85	334.9110891
86	331.6383414
87	326.7118583
88	323.9731464
89	320.8494
90	316.6733157
91	313.8302215
92	309.2271473
93	304.7560074
94	300.9284237
95	297.3106375
96	294.3456709
97	290.0324962
98	286.7917147
99	283.0495552
100	279.6517697
101	275.6089983
102	272.8838958
103	269.9089607
104	266.6035081
105	263.3094966
106	260.7099887
107	256.8116185
108	253.5893999
109	250.8761377
110	247.8974825
111	245.1762293
112	242.2679902
113	238.7711086
114	235.9065858
115	232.4833599
116	230.3404807
117	227.5527422
118	224.2764292
119	222.1531878
120	219.3752848
121	217.0425058
122	213.9247414
123	211.8606006
124	208.8307367
125	206.3789246
126	204.3026476
127	201.3700658
128	199.2659992
129	196.8885431
130	194.1037913
131	191.7159317
132	189.2606468
133	187.3833758
134	185.3920721
135	182.7890085
136	180.832716
137	178.724138
138	176.2409864
139	173.7481818
140	171.7489765
141	169.9693646
142	167.9731343
143	166.0594229
144	164.0682859
145	162.6130711
146	160.3411591
147	158.4319878
148	156.7782916
149	154.6627645
150	152.902245
151	151.1537708
152	149.3729002
153	147.3604642
154	145.9652095
155	143.9736814
156	142.0570093
157	140.17152
158	138.6647855
159	136.8162277
160	135.3245787
161	133.8392309
162	132.3917914
163	131.3778332
164	129.670581
165	127.9382839
166	126.7384527
167	125.4189232
168	123.7795053
169	122.4622453
170	120.8670712
171	119.5588638
172	118.2656898
173	117.0164015
174	115.9844725
175	115.0075524
176	113.7591048
177	112.5755999
178	111.1512981
179	109.991885
